taxid	description
759124	Bhendi yellow vein mosaic alphasatellite
758918	Rubber viroid India/2009
759389	Verticillium dahliae chrysovirus 1
759390	Sida golden mottle virus
759938	Barbel circovirus
759701	Bettongia penicillata papillomavirus 1
760939	Acinetobacter phage Acj9
760732	Acinetobacter phage Acj61
761701	Soybean mild mottle virus
760530	Staphylococcus phage G15
761702	Soybean chlorotic blotch virus
762905	Hyperthermophilic Archaeal Virus 1
762660	Acinetobacter phage Ac42
763552	Mus musculus papillomavirus type 1
762906	Hyperthermophilic Archaeal Virus 2
764348	Magnaporthe oryzae chrysovirus 1
763998	Pseudomonas phage KPP12
764030	Pigeon adenovirus 1 strain=IDA4
764561	Brochothrix phage NF5
764562	Brochothrix phage BL3
764599	Coastal Plains virus strain=DPP53
764595	Bacillus phage W.Ph.
765147	Kenkeme virus
765765	Colwellia phage 9A
766791	Mink coronavirus strain WD1127
767473	Caulobacter phage phiCb5
767521	Astrovirus SG
795381	Bat cyclovirus GF-4c
795694	Porcine bocavirus 1 pig/ZJD/China/2006
768738	Elephant endotheliotropic herpesvirus 5 strain=Vijay
797075	Nerine latent virus
796352	Panax virus Y
797418	Fenneropenaeus chinensis hepandensovirus strain=HB
798072	Tuhoko virus 1
798074	Tuhoko virus 3
798073	Tuhoko virus 2
857288	Arabis mosaic virus small satellite RNA barley/CHE/1991
858367	Astrovirus MLB1 HK05
857312	Brochothrix phage A9
858511	Tomato golden leaf distortion virus
858512	Tomato bright yellow mottle virus
858516	Chino del tomate Amazonas virus
858513	Sidastrum golden leaf spot virus
858517	Cleome golden mosaic virus
859650	Turnip curly top virus
859651	Rosellinia necatrix partitivirus 2 strain=W57
861044	Mycobacterium virus Angelica
861045	Mycobacterium virus CrimD
861561	Cyrtanthus elatus virus A
861047	Mycobacterium virus Bron
862909	Trichodysplasia spinulosa-associated polyomavirus
862943	Spissistilus festinus virus 1
862944	Circulifer tenellus virus 1
862945	Avian paramyxovirus penguin/Falkland Islands/324/2007
864178	Clostridium phage phiCD6356
864596	Bat coronavirus BM48-31/BGR/2008 strain=BtCoV/BM48-31/BGR/2008
864686	Bocavirus gorilla/GBoV1/2009
864696	Garba virus strain=DakAnB439a
866889	Salmonella phage Vi06
867695	Vibrio phage ND1-fs1
871521	Sida golden mosaic Florida virus-Malvastrum strain=Cuba:Havana:Malvastrum:111:2009
869724	Synechococcus phage S-RIM8 A.HR1
869662	Synechococcus phage S-RIM2 R1_1999 strain=RIM2_R1_999
871699	Passerivirus A1 strain=00356
871700	Oscivirus A1 strain=10717
871584	Clostridium phage phiCTP1
871701	Oscivirus A2 strain=10878
872291	Heterobasidion partitivirus 2
873160	Spinach severe curly top virus strain=Arizona:09-10-8:2009
872294	Staphylococcus virus SAP26
874267	Staphylococcus phage phi5967PVL strain=JCSC5967
874272	Lizard adenovirus 2
874268	Staphylococcus phage phi7247PVL strain=JCSC7247
875323	Rose leaf curl virus
875324	Eclipta yellow vein virus
875325	Rose leaf curl betasatellite
876170	Chilli leaf curl virus-[Bhavanisagar:India:2010]
877240	Pseudoalteromonas phage H105/1
876449	Enterobacteria phage UAB_Phi20
878260	Rhododendron virus A
878329	Turkey adenovirus 1 strain=D90/2
879096	Hepatitis E virus rat/R63/DEU/2009
879628	Aeromonas phage phiAS4
879630	Aeromonas phage phiAS5
880159	Bathycoccus sp. RCC1105 virus BpV1
880161	Micromonas sp. RCC1109 virus MpV1
881944	Pepper yellow leaf curl virus
881915	Pantoea phage LIMElight
880162	Ostreococcus lucimarinus virus 1
881945	Canary polyomavirus
882768	Fig cryptic virus
883876	Luna mammarenavirus strain=LSK-1
881953	Lactococcus phage 949
884200	Rotavirus D chicken/05V0049/DEU/2005
885379	Tomato leaf curl Bangladesh betasatellite strain=India:PUSA 3:2010
884612	Pepper leaf curl Lahore Virus-[Pakistan:Lahore1:2004]
885867	Prochlorococcus phage P-SSP10
887827	Chickpea redleaf virus
889202	Rhynchosia golden mosaic Havana virus-[Cuba:Havana:28:2007]
889203	Rhynchosia rugose golden mosaic virus-[Cuba:Camaguey:171:2009]
887825	Chickpea chlorosis virus-A
889510	Digitaria didactyla striate mosaic virus strain=DDSMV-[AU:QL:99]
889338	Salmonella phage PVPSE1
889873	Fathead minnow nidovirus
889813	Colobus guereza papillomavirus 2
889876	Acinetobacter phage AB1
889950	Synechococcus phage KBS-M-1A
889951	Cyanophage KBS-P-1A
889953	Cyanophage KBS-S-2A
889954	Cyanophage MED4-117
904698	Arumowot virus
889955	Prochlorococcus phage MED4-184
904699	Salehabad virus strain=I-81
889956	Prochlorococcus phage MED4-213
905054	Tobacco leaf curl Pusa virus strain=IN:Pusa:Tb:10
904722	Anhanga virus strain=BeAn46852
905055	Tobacco leaf curl PUSA alphasatellite
906668	Escherichia phage HK75
907191	Raspberry latent virus
906669	Escherichia phage HK639
908010	Bhendi yellow vein India betasatellite [India:Aurangabad:OY164:2006]
908072	Bhendi yellow vein mosaic betasatellite [India:Coimbator:OYCO1:2005]
908028	Bhendi yellow vein India virus [India:Dharwad OYDWR2:2006]
908124	Okra leaf curl India virus [India:Sonipat EL14A:2006]
908127	Okra enation leaf curl virus [India:Munthal EL37:2006]
908125	Okra enation leaf curl virus
908137	Cotton leaf curl Allahabad virus [India:Karnal:OY77:2005]
908277	Okra enation leaf curl betasatellite [India:Sonipat:EL10:2006]
908834	Grapevine associated narnavirus-1 strain=Ctg157
908819	Flavobacterium phage FCL-2
909206	Klamath virus strain=M-1056
909297	Synechococcus phage S-CBS1
909210	Simian adenovirus 18
909330	Human papillomavirus type 131
909333	Human papillomavirus 134
909331	Human papillomavirus 132
909827	Pepper vein yellows virus
910473	Burkholderia phage KS5
911574	Malvastrum yellow vein Changa Manga virus
910475	Burkholderia phage KS14
910474	Burkholderia phage KL3
912033	Ageratum leaf curl Cameroon virus
912029	Beet cryptic virus 2
912034	Okra leaf curl Cameroon virus
912035	Ageratum leaf curl Buea betasatellite
912967	Bocavirus pig/SX/China/2010
912320	Piscine myocarditis virus AL V-708
913600	Papaya leaf crumple virus-Panipat 8 [India:Panipat:Papaya:2008]
913970	Microviridae phi-CA82
913183	Ralstonia phage RSB2
915293	Ageratum yellow vein Singapore alphasatellite
915424	Macaca fascicularis papillomavirus 2
915425	Human papillomavirus type 101
915426	Human papillomavirus 109
915427	Human papillomavirus type 112
915428	Human papillomavirus 116 strain=HPV116
915429	Human papillomavirus 121
925983	Erwinia phage phiEa100
925984	Erwinia phage phiEt88
926543	Ralstonia phage PE226
925986	Erwinia phage phiEa104
926067	Aeromonas phage PX29
926474	Roseovarius Plymouth podovirus 1
926589	Escherichia phage PhaxI
926844	Tobacco curly shoot alphasatellite
927810	Tuber aestivum virus 1
928211	Pan troglodytes verus polyomavirus 1a
928214	Gorilla gorilla gorilla polyomavirus 1
928289	Pigeon picornavirus B strain=03/641
929051	Tomato leaf curl Togo betasatellite-[Togo:2006]
928293	Yersinia phage Yep-phi
929766	Sida golden yellow vein virus-[Jamaica:Liguanea2:2008]
929767	Sida golden mosaic Braco virus-[Jamaica:Liguanea:2008]
929769	Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]
929814	Salmonella phage RE2010
929831	Simian Agent 10
929833	Rhizobium phage RR1-A
929832	Cyanophage P-RSM6
930168	Sweet potato collusive virus
929835	Vibrio phage pYD38-B
929834	Rhizobium phage RR1-B
930275	Cotia virus SPAn232
930881	Sweet potato virus C
931209	Human papillomavirus type 128
931210	Human papillomavirus type 129
931972	Murine adenovirus 2
932069	Sida mosaic Bolivia virus 1 strain=SiMBoV1
932070	Sida mosaic Bolivia virus 2 strain=SiMBoV2
932071	Abutilon mosaic Bolivia virus strain=AbMBoV
932073	Solanum mosaic Bolivia virus strain=SoMBoV
932699	Bahia Grande virus strain=TB4-1054
932662	Mud crab virus
935473	Rhynchosia yellow mosaic India virus
932700	Muir Springs virus strain=76V-23524
936005	Bromus catharticus striate mosaic virus
936059	Tursiops truncatus papillomavirus 1
936149	Scophthalmus maximus rhabdovirus
936054	Enterobacteria phage VT2phi_272
936060	Tursiops truncatus papillomavirus 2
936308	Culex tritaeniorhynchus rhabdovirus strain=TY
937809	Cordyline virus 1
936152	Riemerella phage RAP44
938276	Tomato leaf curl Ranchi virus
937835	Pseudomonas virus PA1KOR
938131	Mycobacterium phage Wee
938277	Tomato leaf curl Ranchi betasatellite
939923	Tolypocladium cylindrosporum virus 1
940280	Carnation yellow fleck virus
940834	Equus caballus papillomavirus 3
940846	Sweet potato leaf curl Uganda virus-[Uganda:Kampala:2008]
941765	Tuber aestivum betaendornavirus
941058	Bacillus phage SP-10
941969	Liberibacter phage SC1
941970	Liberibacter phage SC2
942032	Cyclovirus PKbeef23/PAK/2009
942016	Enterobacter phage EcP1
942033	Cyclovirus PKgoat21/PAK/2009
942034	Cyclovirus PKgoat11/PAK/2009
942035	Cyclovirus bat/USA/2009
942036	Cyclovirus NGchicken8/NGA/2009
942037	Cyclovirus NGchicken15/NGA/2009
942041	Heterobasidion partitivirus 1
942165	Pseudomonas phage phiIBB-PF7A
943083	California sea lion adenovirus 1 strain=Zc11-030
943272	Honeysuckle ringspot virus
943342	Eothenomys miletus hantavirus LX309
943908	Human polyomavirus 9
943335	Pantoea phage LIMEzero
944580	Trailing lespedeza virus 1
944994	Hollyhock yellow vein mosaic virus
944995	Ageratum conyzoides associated symptomless alphasatellite
944969	Cynomolgus macaque cytomegalovirus strain Ottawa
944996	Hollyhock yellow vein virus associated symptomless alphasatellite
945250	Verbesina encelioides leaf curl alphasatellite
945225	Spinach curly top Arizona virus
945083	Edwardsiella phage eiAU
945960	Tamarillo leaf malformation virus
945962	Mosquito densovirus BR/07
946046	Ugandan cassava brown streak virus strain=UG[Uganda:Namulonge:2004]
947842	Cronobacter phage ESSI-2
947843	Erwinia phage ENT90
947066	Staphylococcus phage TEM126
947379	Enterococcus phage phiEF24C-P2
947980	Lactobacillus phage LF1
947981	Lactobacillus phage Sha1
948071	Puniceispirillum phage HMO-2011
971271	Tomato leaf curl Hanoi virus
977912	Orsay virus
977801	Enterococcus phage EF62phi
948870	Enterobacteria phage phi92 strain=ATCC 35860-B1
977913	Santeuil nodavirus
977927	Salmonella virus SPC35
979525	Vibrio phage ICP1
979533	Vibrio phage ICP2
979535	Vibrio phage ICP3
979781	Tomato mottle leaf curl Zulia virus
980895	Soybean vein necrosis virus
979726	Escherichia phage UAB_Phi78
980964	Turkey hepatitis virus 2993D strain=124
981323	Gordonia phage GTE2
981330	Tsukamurella phage TPA2
981335	Tetrasphaera phage TJE1
981431	Pseudomonas phage PAK_P3
983437	Tomato chlorotic leaf distortion virus-[Venezuela:Zulia:2004]
984175	Cronobacter phage ENT39118
984186	Cronobacter phage ENT47670
985683	Donggang virus
988656	Pseudomonas phage phi15
988776	Human gyrovirus 1
989895	Passion fruit green spot virus
990280	Jeju virus strain=10-11
990303	Papio hamadryas papillomavirus 1
990304	Saimiri sciureus papillomavirus 1
991022	Seal anellovirus TFFN/USA/2006
992212	SFTS virus HB29
992230	Human rhinovirus NAT001
990550	Campylobacter virus CP81
994388	Sweet potato leaf curl Sao Paulo virus
994485	Scophthalmus maximus reovirus
994601	Planktothrix phage PaV-LD
994672	Titi monkey adenovirus ECC-2011
994994	Rotavirus F chicken/03V0568/DEU/2003
994995	Rotavirus G chicken/03V0567/DEU/2003
995049	Sweet potato vein clearing virus strain=Dom1
995022	Simian adenovirus 49
996311	Tomato leaf curl Madagascar virus-Menabe [Madagascar:Morondova:2001]
996650	Camelus dromedarius papillomavirus 1
996651	Camelus dromedarius papillomavirus 2
997078	Tomato leaf curl Comoros virus
998829	Zalophus californianus papillomavirus 1 strain=ZcPV1_2008
998864	Alfalfa dwarf virus
998086	Pseudomonas phage PhiPA3
999288	Sweet potato leaf curl South Carolina virus
999729	Leanyer virus
1000373	Rosellinia necatrix quadrivirus 1
999883	Lausannevirus
1000646	Echarate virus
1000664	Chilli leaf curl Vellanad virus [India/Vellanad/2008]
1000665	Chilli leaf curl Kanpur virus [India/Kanpur/2008]
1000690	Tomato leaf curl Joydebpur betasatellite [India/Jaunpur/Chilli/2007]
1001080	Rockport virus
1001341	Vernonia yellow vein Fujian virus
1001533	Bos taurus papillomavirus 7
1002273	Avian gyrovirus 2
1002359	Drosophila ananassae sigmavirus
1002360	Drosophila immigrans sigmavirus strain=SCM45623
1002681	Sida golden mosaic Lara virus strain=Venezuela:Lara:M1:2009
1002724	Shigella virus Shfl1
1002725	Shigella phage Shfl2
1002918	Simian sapelovirus 1 strain=2383
1002921	Porcine sapelovirus 1 strain=V13
1003835	Severe fever with thrombocytopenia syndrome virus strain=HNXH
1003891	Hardenbergia virus A
1004049	Spissistilus festinus reovirus strain=Type
1004889	Maldonado virus strain=FMD 0077
1006061	Duck hepatitis A virus 1 strain=R85952; ATCC VR-191
1006585	Durania virus strain=Co Ar 171162
1005056	Salmonella virus iEPS5
1006583	Aguacate virus strain=VP-175A
1006586	Ixcanal virus strain=CA Ar 170897
1007869	Rhodococcus phage E3
10243	Cowpox virus strain=Brighton Red
10256	Raccoonpox virus strain=Herman
10255	Variola virus strain=India-1967, ssp. major
10245	Vaccinia virus strain=WR (Western Reserve)
10261	Fowlpox virus
10258	Orf virus strain=OV-SA00
10264	Pigeonpox virus
1007127	Staphylococcus phage Sb1
1008292	Trichomonas vaginalis virus 4 strain=TVV4-OC3
10273	Myxoma virus strain=Lausanne
10271	Rabbit fibroma virus strain=Kasza
10280	Molluscum contagiosum virus subtype 1
10276	Swinepox virus
10288	Choristoneura biennis entomopoxvirus
10266	Sheeppox virus strain=TU-V02127
10298	Human alphaherpesvirus 1 strain=17
10317	Cercopithecine alphaherpesvirus 2 strain=B264
10331	Equid alphaherpesvirus 4 strain=NS80567
10320	Bovine alphaherpesvirus 1 strain=Composite of 5 strains
10325	Macacine alphaherpesvirus 1 strain=E2490
10326	Equid alphaherpesvirus 1 strain=Ab4
10334	Felid alphaherpesvirus 1 strain=C-27
10335	Human alphaherpesvirus 3 strain=Dumas
10345	Suid alphaherpesvirus 1 strain=Composite of 6 strains
10353	Saimiriine alphaherpesvirus 1 strain=MV 5-4
10371	Equid gammaherpesvirus 5 strain=2-141/67
10359	Human betaherpesvirus 5 strain=Merlin
10366	Murid betaherpesvirus 1 strain=Smith
10372	Human betaherpesvirus 7 strain=RK
10376	Human gammaherpesvirus 4 strain=Raji
1010616	Tomato blistering mosaic virus
10381	Saimiriine gammaherpesvirus 2
10385	Bovine gammaherpesvirus 4
10386	Gallid alphaherpesvirus 1 strain=Composite of 6 strains
10390	Gallid alphaherpesvirus 2 strain=Md5
10397	Tupaiid betaherpesvirus 1 strain=2
10398	Ovine gammaherpesvirus 2 strain=BJ1035
10401	Ictalurid herpesvirus 1 strain=Auburn 1
10406	Ground squirrel hepatitis virus
10449	Lymantria dispar multiple nucleopolyhedrovirus
1010614	Staphylococcus phage S24-1
10455	Spodoptera frugiperda multiple nucleopolyhedrovirus
10454	Spodoptera exigua multiple nucleopolyhedrovirus
10456	Spodoptera littoralis nucleopolyhedrovirus
10464	Agrotis segetum granulovirus
10464	Agrotis segetum granulovirus strain=DA
10468	Helicoverpa zea single nucleopolyhedrovirus
10484	Campoletis sonorensis ichnovirus strain=Texas A&M
10497	African swine fever virus strain=BA71V
10497	African swine fever virus strain=L60
10497	African swine fever virus strain=NHV
10497	African swine fever virus
10497	African swine fever virus strain=Ken05/Tk1
10497	African swine fever virus strain=Ken06.Bus
10493	Frog virus 3
1010668	Murre virus strain=Murre H
10510	Bovine adenovirus 3 strain=WBR-1
10512	Canine adenovirus 1
10506	Paramecium bursaria Chlorella virus 1
10514	Canine adenovirus 2
10515	Human adenovirus 2
1016852	Banana streak CA virus
10519	Human adenovirus 7
10533	Human adenovirus 1
10522	Human adenovirus 35
10537	Canine mastadenovirus A
10546	Bovine adenovirus 1
10564	Deltapapillomavirus 2
10561	Xipapillomavirus 1
10566	Human papillomavirus
10567	Iotapapillomavirus 1
10568	Micromys minutus papillomavirus 1
10570	Alphapapillomavirus 12
10571	Bovine papillomavirus
10589	Human papillomavirus type 41
10600	Human papillomavirus type 6b strain=type 6b (HPV6b)
10611	human papillomavirus 30
10617	Human papillomavirus 4
10616	Human papillomavirus type 49
10620	Human papillomavirus type 7
1016853	Banana streak IM virus
10621	Human papillomavirus 9
10623	Kappapapillomavirus 2
10632	JC polyomavirus strain=Mad1
10641	Cauliflower mosaic virus
10640	Carnation etched ring virus
10649	Figwort mosaic virus
10651	Soybean chlorotic mottle virus
10653	Commelina yellow mottle virus
10654	Rice tungro bacilliform virus
10658	Enterobacteria phage PRD1
10661	Pseudoalteromonas virus PM2
10665	Escherichia virus T4
10666	Enterobacteria phage T6
10679	Escherichia virus P2
1016854	Banana streak UA virus
10680	Enterobacteria phage P4
10682	Enterobacteria phage P7
10689	Vibrio phage CP-T1
10690	Haemophilus virus HP1 strain=HP1c1
1016857	Banana streak UM virus
10692	Enterobacteria phage RB18
10702	Streptomyces phage VWB
10693	Enterobacteria phage RB51
10704	Rhizobium phage 16-3
10708	Pseudomonas virus D3112
10710	Escherichia virus Lambda
10713	Enterobacteria phage phi80
1016879	Cutthroat trout virus
10717	Bacillus phage phi105
10724	Bacillus phage SPP1
10719	Streptomyces virus phiC31 strain=Norwich stock
10732	Streptomyces phage R4
10748	Streptococcus phage CP-7
10747	Streptococcus phage Cp1
1016856	Banana streak UL virus
10753	Bacillus phage Nf
10757	Bacillus phage PZA
10759	Enterobacteria phage T3 strain=Luria
10759	Enterobacteria phage T3
10754	Salmonella virus P22
10778	Bacillus virus B103
10760	Escherichia phage T7
10761	Shigella virus Sf6
10784	Bovine parvovirus
10794	Minute virus of mice strain=MVM(p)
10788	Canine parvovirus strain=CPV-N
10798	Human parvovirus B19
10796	Porcine parvovirus strain=NADL-2
10804	adeno-associated virus 2
10799	H-1 parvovirus
10815	Abutilon mosaic virus
10817	African cassava mosaic virus
10820	Chloris striate mosaic virus
10829	Squash leaf curl virus
10826	Panicum streak virus strain=Karino
10827	Potato yellow mosaic virus
10830	Tobacco yellow dwarf virus
10831	Tomato golden mosaic virus strain=Yellow vein
10834	Wheat dwarf virus
10832	Tomato yellow leaf curl virus
10837	Digitaria streak virus
10835	Tomato mottle virus
10836	Sugarcane streak virus strain=Natal
10838	Bean dwarf mosaic virus
10839	Bean golden mosaic virus strain=Type I
10840	Beet curly top virus
10843	Escherichia phage G4
10854	Spiroplasma phage R8A2B
10845	Escherichia phage St-1
10849	Escherichia phage alpha3
1016855	Banana streak UI virus
10855	Spiroplasma virus SpV4
10862	Xanthomonas virus Cf1c
10863	Enterobacteria phage f1
10867	Salmonella phage IKe
10869	Escherichia virus I22
10868	Escherichia phage If1
10872	Pseudomonas phage Pf3
10879	Pseudomonas virus phi6
10942	Human rotavirus B strain=Bang373
10989	Maize rough dwarf virus
10986	Rice gall dwarf virus
10991	Rice dwarf virus
10990	Rice black streaked dwarf virus
10995	Infectious bursal disease virus strain=Very virulent strain
1026955	Synechococcus phage S-CRM01
11002	Infectious pancreatic necrosis virus
11008	Saccharomyces cerevisiae virus L-A
11020	Barmah Forest virus strain=BH2193
11021	Eastern equine encephalitis virus strain=ssp. North American variant
11023	Middelburg virus
11024	Highlands J virus
11033	Semliki Forest virus
1027232	Groundnut ringspot and Tomato chlorotic spot virus reassortant
11034	Sindbis virus
11036	Venezuelan equine encephalitis virus
11041	Rubella virus strain=F-Therien
11039	Western equine encephalitis virus strain=71V-1658
11047	Equine arteritis virus strain=Bucyrus
11048	Lactate dehydrogenase-elevating virus strain=Plagemann
11049	Lelystad virus
11060	Dengue virus 2 strain=16681
11053	Dengue virus 1
11069	Dengue virus 3
11070	Dengue virus 4
11080	Saint Louis encephalitis virus strain=Kern217
11079	Murray Valley encephalitis virus
11072	Japanese encephalitis virus
11082	West Nile virus strain=956
11082	West Nile virus strain=NY99
11082	West Nile virus
11084	Tick-borne encephalitis virus
11083	Powassan virus strain=LB
11086	Louping ill virus strain=369/T2
11085	Langat virus strain=TP21
11089	Yellow fever virus strain=17D vaccine strain
11096	Classical swine fever virus strain=strain Eystrup
11099	Bovine viral diarrhea virus 1 strain=NADL
11120	Infectious bronchitis virus strain=Beaudette
11120	Infectious bronchitis virus
1027247	Bovine astrovirus B76-2/HK
11128	Bovine coronavirus
11135	Feline infectious peritonitis virus
11137	Human coronavirus 229E
11138	Murine hepatitis virus strain=MHV-A59
11138	Murine hepatitis virus strain=A59
11149	Transmissible gastroenteritis virus strain=Purdue
1027248	Bovine astrovirus B76/HK
11216	Human respirovirus 3
11215	Bovine respirovirus 3
11152	Turkey coronavirus
11191	Murine respirovirus strain=Ohita
11224	Human parainfluenza virus 4a strain=M-25
11234	Measles morbillivirus strain=Ichinose-B95a
11232	Canine morbillivirus
11240	Phocine morbillivirus strain=PDV/Wadden_Sea.NLD/1988
11246	Bovine orthopneumovirus strain=ATue51908
11242	Rinderpest virus (strain Kabete O) strain=Kabete 'O' virulent
11247	Bovine respiratory syncytial virus ATCC51908 strain=ATCC 51908
11250	Human orthopneumovirus strain=B1
11250	Human orthopneumovirus
11269	Marburg marburgvirus
11274	Piry virus strain=BeAn2423
11272	Chandipura virus
11277	Vesicular stomatitis Indiana virus
11277	Vesicular stomatitis Indiana virus strain=98COE
11290	Infectious hematopoietic necrosis virus strain=WRAC
11280	Vesicular stomatitis New Jersey virus
11292	Rabies lyssavirus
11303	Bovine ephemeral fever virus
11307	Sonchus yellow net nucleorhabdovirus
1027244	Bovine astrovirus B170/HK
11553	Influenza C virus (C/Ann Arbor/1/50)
11569	Thogoto thogotovirus
11575	Maguari virus strain=BeAr 7272
11577	La Crosse virus strain=Human/78
11582	Aino virus
11587	Punta Toro virus strain=Adames
11587	Punta Toro virus strain=PAN472868
11580	Snowshoe hare virus
11588	Rift Valley fever virus strain=ZH-548
11620	Lassa mammarenavirus strain=Josiah
11623	Lymphocytic choriomeningitis mammarenavirus strain=Armstrong 53b
11612	Impatiens necrotic spot virus strain=NL-07
11596	Hazara virus
11591	Uukuniemi virus strain=S23
1027245	Bovine astrovirus B18/HK
11628	Machupo mammarenavirus strain=Carvallo
11631	Tacaribe mammarenavirus
11663	Ovine lentivirus
11642	Simian foamy virus
11657	Bovine immunodeficiency virus
11636	Reticuloendotheliosis virus strain=HA9901
11660	Caprine arthritis encephalitis virus
11665	Equine infectious anemia virus
11673	Feline immunodeficiency virus strain=Petaluma
11676	Human immunodeficiency virus 1
11709	Human immunodeficiency virus 2
11746	Jaagsiekte sheep retrovirus
11723	Simian immunodeficiency virus
11757	Mouse mammary tumor virus
1027253	Stenotrophomonas phage phiSHP2
11764	Baboon endogenous virus strain M7
11768	Feline leukemia virus strain=FRA
11801	Moloney murine leukemia virus
11795	Friend murine leukemia virus strain=FB29
11788	Abelson murine leukemia virus
11819	Spleen focus-forming virus
11809	Moloney murine sarcoma virus
11830	Murine osteosarcoma virus
11834	RD114 retrovirus
11856	Squirrel monkey retrovirus strain=HLB
11855	Mason-Pfizer monkey virus
11878	Avian sarcoma virus CT10
11867	Avian myelocytomatosis virus
11840	Gibbon ape leukemia virus
11884	Y73 sarcoma virus strain=PR2257/16
1027869	Switchgrass mosaic virus
11885	Fujinami sarcoma virus
11886	Rous sarcoma virus
11909	Human T-lymphotropic virus 2
11901	Bovine leukemia virus
11908	Human T-cell leukemia virus type I
11938	Rauscher murine leukemia virus
11946	Avian leukemia virus
11958	Avian carcinoma virus strain=MH2E21
11976	Rabbit hemorrhagic disease virus strain=FRG
11970	Woolly monkey sarcoma virus
11986	Carnation mottle virus
11987	Melon necrotic spot virus
11978	Feline calicivirus strain=Urbana
11988	Turnip crinkle virus
1027468	Farmington virus strain=CT 114
12022	Escherichia phage MS2
12023	Pseudomonas phage PP7
12024	Pseudomonas phage PRR1
12027	Enterobacteria phage SP
12042	Beet western yellows virus strain=USA
12041	Bean leafroll virus
12049	Soybean dwarf virus strain=YS
12045	Potato leafroll virus
12072	Coxsackievirus B3
12055	Tobacco necrosis virus A
12056	Tobacco necrosis virus D
12063	Human parechovirus 1
12064	Enterovirus E strain=VG-5-27
1027880	Asclepias asymptomatic virus
12104	Encephalomyocarditis virus strain=Ruckert
12092	Hepatovirus A
12138	Maize chlorotic mottle virus
12118	Foot-and-mouth disease virus - type O
12118	Foot-and-mouth disease virus - type O strain=O6
12136	Cricket paralysis virus
12131	rhinovirus B14
12142	Artichoke mottled crinkle virus
12145	Tomato bushy stunt virus strain=cherry
12151	Eggplant mosaic virus
12143	Cucumber necrosis virus
12152	Erysimum latent virus
12144	Cymbidium ringspot virus
1030595	Eragrostis minor streak virus
12153	Ononis yellow mosaic virus
